"","Time","TiO2-T1","TiO2-T2","TiO2-H1","TiO2-S1","TiO2-H2","TiO2-S2"
"1",0.166666666666667,0.01363636364,0.03051948052,0.02012987013,0.01688311688,0.02532467532,0.0461038961
"2",0.333333333333333,0.02045454545,0.0512987013,0.03214285714,0.05487012987,0.04220779221,0.08863636364
"3",0.666666666666667,0.04318181818,0.07857142857,0.06266233766,0.1051948052,0.08214285714,0.1672077922
"4",1,0.0737012987,0.1292207792,0.09285714286,0.1392857143,0.09707792208,0.1896103896
"5",2,0.0985625568767929,0.173580865162052,0.130540723030357,0.169566098262541,0.149201547435821,0.180954153489626
"6",5,0.0920049981650441,0.151770758043018,0.115210629999253,0.117369369909862,0.137979309359223,0.158218139505563
"7",8,0.0833063731813843,0.134457282329902,0.102068492940242,0.0938224782258779,0.126501010990109,0.15011261188402
"8",14,0.0733723431205243,0.115149880458734,0.0983961716303471,0.0808519465575901,0.109693408464443,0.136396639005335
"9",26,0.06427,0.10055,0.08048,0.06951,0.09729,0.12364
