"","Time","TiO2-T1","TiO2-T2","TiO2-H1","TiO2-S1","TiO2-H2","TiO2-S2"
"1",0.166666666666667,0.004141359837,0.004026646596,0.005863149735,0.004543273436,0.003395499094,0.006207546231
"2",0.333333333333333,0.006790869802,0.006963035953,0.007594376034,0.008512595507,0.00570054837,0.01281681348
"3",0.666666666666667,0.01237676912,0.01335231312,0.01421333646,0.015647926,0.01105689282,0.02362502187
"4",1,0.01595406335,0.01853649142,0.02129121404,0.03081774107,0.01629845984,0.03397412051
"5",2,0.0359273504709375,0.0301394179383986,0.0271969138159298,0.030391838540569,0.0325297517816195,0.0599973274471198
"6",5,0.0298684552467638,0.0281743592850467,0.020690183954516,0.0199839489955708,0.026872944835953,0.0472628581940946
"7",8,0.0247835154072067,0.0274793031972211,0.0173318167709949,0.0164248672740479,0.0240602764806173,0.0304331003097854
"8",14,0.0226241811335477,0.0233955646021623,0.0144323214193118,0.0136338164187088,0.0197828161018162,0.0234112739317561
"9",26,0.02147,0.01152,0.00985,0.01063,0.01842,0.01774
