"","Time","TiO2-T1","TiO2-T2","TiO2-H1","TiO2-S1","TiO2-H2","TiO2-S2"
"1",0.166666666666667,0.000458204334,0.000817337461,0.000613003096,0.000681114551,0.000352941176,0.000489164087
"2",0.333333333333333,0.00066873065,0.001046439628,0.000891640867,0.00107120743,0.000699690402,0.001170278638
"3",0.666666666666667,0.001102167183,0.001380804954,0.001523219814,0.002018575851,0.00119504644,0.001368421053
"4",1,0.001535603715,0.001659442724,0.002092879257,0.003027863777,0.001944272446,0.002018575851
"5",2,0.00283285060817033,0.00256570291817496,0.00282064472350845,0.0030694985688571,0.00334998712432449,0.00501827353151231
"6",5,0.00198598205620624,0.00195294992783279,0.00211330110177807,0.00234383224771962,0.00303470941591936,0.00398020660712561
"7",8,0.00169534400415817,0.00166714595461902,0.00165629027438852,0.00200082469831538,0.00279501420712789,0.0036082845207611
"8",14,0.00153692612791252,0.00140082662903307,0.00125767383818198,0.00165480969687941,0.00221848497066802,0.00296545332800158
"9",26,0.00112,0.00079,0.00094,0.00115,0.00187,0.00258
